file	drug_words.txt.uniq_lem.txt	mpqa_pos_words.txt.uniq_lem.txt	love_words.txt.uniq_lem.txt	mpqa_neut_words.txt.uniq_lem.txt	2-3PTokens.txt.uniq_lem.txt	1PTokens.txt.uniq_lem.txt	action_verbs.txt.uniq_lem.txt	1PSTokens.txt.uniq_lem.txt	death_words.txt.uniq_lem.txt	mpqa_neg_words.txt.uniq_lem.txt	sensual_words.txt.uniq_lem.txt	concrete_nouns.txt.uniq_lem.txt	
pete_ham.txt.tkzd.34.txt	0	20	14	13	42	10	0	2	12	43	2	8	
elliott_smith.txt.tkzd.79.txt	15	14	17	12	33	13	0	12	3	31	5	32	
kurt_cobain.txt.tkzd.10.txt	2	20	6	4	16	28	4	28	6	14	10	40	
elliott_smith.txt.tkzd.23.txt	0	26	12	12	19	8	0	8	9	19	7	20	
ian_curtis.txt.tkzd.25.txt	0	11	6	6	2	7	0	5	2	6	5	24	
ian_curtis.txt.tkzd.22.txt	0	17	15	14	28	6	1	1	3	22	3	5	
elliott_smith.txt.tkzd.74.txt	1	18	6	8	13	13	0	13	9	17	13	35	
phil_ochs.txt.tkzd.5.txt	0	31	15	4	30	0	0	0	4	25	3	40	
kurt_cobain.txt.tkzd.41.txt	2	7	48	2	5	56	0	56	46	3	4	23	
elliott_smith.txt.tkzd.40.txt	8	24	22	22	40	24	0	23	11	29	5	48	
stuart_adamson.txt.tkzd.13.txt	1	36	8	19	10	49	8	49	8	27	15	43	
ian_curtis.txt.tkzd.5.txt	1	16	8	7	17	24	0	19	5	13	11	32	
phil_ochs.txt.tkzd.34.txt	1	15	11	8	8	26	0	23	2	12	4	55	
ian_curtis.txt.tkzd.2.txt	0	14	8	3	4	10	0	10	1	18	3	12	
elliott_smith.txt.tkzd.82.txt	1	3	6	6	3	7	0	3	4	13	5	7	
kurt_cobain.txt.tkzd.4.txt	8	24	0	16	32	8	0	8	13	0	0	25	
kurt_cobain.txt.tkzd.21.txt	1	11	7	6	9	15	4	12	1	20	5	33	
phil_ochs.txt.tkzd.12.txt	2	18	10	15	9	26	2	26	2	16	6	37	
pete_ham.txt.tkzd.33.txt	3	33	27	19	49	7	0	2	12	29	20	22	
pete_ham.txt.tkzd.9.txt	10	19	33	31	12	14	0	14	11	15	18	40	
kurt_cobain.txt.tkzd.8.txt	30	54	0	0	12	57	0	57	21	16	0	24	
elliott_smith.txt.tkzd.90.txt	3	14	7	8	16	17	0	17	6	15	2	22	
elliott_smith.txt.tkzd.96.txt	2	7	9	9	19	5	0	5	6	22	3	21	
kurt_cobain.txt.tkzd.11.txt	0	16	25	0	39	0	1	0	8	13	10	18	
kurt_cobain.txt.tkzd.47.txt	2	14	13	6	9	73	0	66	3	20	8	50	
phil_ochs.txt.tkzd.17.txt	5	23	18	17	48	0	1	0	14	38	5	51	
elliott_smith.txt.tkzd.50.txt	9	20	11	13	19	8	0	8	7	27	10	20	
kurt_cobain.txt.tkzd.1.txt	6	13	29	3	22	11	0	8	0	33	5	8	
kurt_cobain.txt.tkzd.25.txt	0	70	4	76	2	33	1	13	3	27	5	50	
kurt_cobain.txt.tkzd.14.txt	2	8	4	22	7	9	17	8	16	32	1	13	
pete_ham.txt.tkzd.29.txt	13	11	11	7	19	18	0	18	18	15	5	10	
ian_curtis.txt.tkzd.33.txt	1	12	17	10	13	15	1	12	3	22	5	11	
elliott_smith.txt.tkzd.27.txt	8	30	19	11	23	10	0	9	7	20	9	27	
kurt_cobain.txt.tkzd.48.txt	5	6	7	10	11	12	1	12	0	6	2	30	
pete_ham.txt.tkzd.28.txt	1	19	13	27	22	43	2	34	13	39	8	35	
phil_ochs.txt.tkzd.50.txt	8	28	26	31	18	1	3	0	10	52	17	50	
phil_ochs.txt.tkzd.45.txt	0	17	18	14	12	4	1	3	7	20	3	33	
phil_ochs.txt.tkzd.53.txt	3	17	14	19	18	1	1	1	2	16	5	32	
pete_ham.txt.tkzd.4.txt	5	41	36	17	12	27	0	23	12	32	18	28	
elliott_smith.txt.tkzd.80.txt	2	10	3	4	20	9	0	9	4	18	1	20	
kurt_cobain.txt.tkzd.53.txt	0	25	6	20	29	13	0	13	4	11	12	32	
elliott_smith.txt.tkzd.58.txt	7	33	22	21	21	25	0	24	10	33	8	39	
kurt_cobain.txt.tkzd.52.txt	16	20	18	4	50	42	0	42	0	27	59	6	
pete_ham.txt.tkzd.23.txt	0	41	6	17	41	18	0	18	30	34	3	41	
stuart_adamson.txt.tkzd.1.txt	1	10	15	7	6	28	0	28	5	15	4	34	
kurt_cobain.txt.tkzd.30.txt	15	28	35	9	33	51	0	39	14	56	6	53	
kurt_cobain.txt.tkzd.34.txt	5	19	24	13	36	18	0	18	5	16	6	30	
ian_curtis.txt.tkzd.39.txt	6	19	32	19	6	22	3	22	14	23	5	34	
ian_curtis.txt.tkzd.27.txt	2	11	9	5	23	2	0	1	11	10	1	9	
kurt_cobain.txt.tkzd.32.txt	8	37	19	5	27	44	0	41	7	24	17	34	
kurt_cobain.txt.tkzd.27.txt	8	29	19	18	9	28	7	15	2	52	15	23	
phil_ochs.txt.tkzd.40.txt	0	15	7	15	18	11	0	11	22	9	1	39	
pete_ham.txt.tkzd.15.txt	12	27	13	22	32	15	2	4	18	36	12	27	
kurt_cobain.txt.tkzd.29.txt	0	12	4	1	7	13	0	13	13	4	6	30	
elliott_smith.txt.tkzd.2.txt	1	16	12	4	39	3	1	3	3	12	8	13	
ian_curtis.txt.tkzd.36.txt	2	10	10	4	30	17	1	16	4	18	24	43	
pete_ham.txt.tkzd.27.txt	9	23	19	18	25	6	0	4	19	13	4	12	
phil_ochs.txt.tkzd.16.txt	0	21	10	21	6	0	3	0	15	35	8	21	
elliott_smith.txt.tkzd.97.txt	3	34	10	29	38	10	2	9	3	35	3	15	
elliott_smith.txt.tkzd.98.txt	6	19	9	12	20	3	0	3	3	16	6	29	
ian_curtis.txt.tkzd.3.txt	3	23	12	15	7	12	5	11	8	14	8	24	
phil_ochs.txt.tkzd.18.txt	10	20	18	10	11	13	1	5	7	26	4	24	
elliott_smith.txt.tkzd.12.txt	1	14	10	7	11	12	0	11	8	14	8	25	
ian_curtis.txt.tkzd.17.txt	12	4	13	11	11	11	0	11	39	33	9	33	
ian_curtis.txt.tkzd.1.txt	2	12	13	12	11	3	2	3	10	11	6	31	
elliott_smith.txt.tkzd.84.txt	2	16	7	6	24	6	2	4	3	22	3	15	
elliott_smith.txt.tkzd.24.txt	3	8	7	6	6	10	1	8	6	12	6	14	
kurt_cobain.txt.tkzd.40.txt	1	9	2	11	3	34	0	34	2	7	4	26	
kurt_cobain.txt.tkzd.38.txt	0	4	2	11	4	6	0	6	0	2	2	39	
ian_curtis.txt.tkzd.10.txt	3	56	15	12	1	8	1	1	3	21	5	51	
phil_ochs.txt.tkzd.51.txt	7	30	21	18	33	19	1	12	7	34	5	51	
kurt_cobain.txt.tkzd.31.txt	1	28	32	14	21	66	0	62	2	28	8	67	
elliott_smith.txt.tkzd.91.txt	4	15	3	6	9	4	1	4	10	6	2	11	
elliott_smith.txt.tkzd.13.txt	5	14	12	10	19	12	0	12	5	17	6	41	
phil_ochs.txt.tkzd.47.txt	6	26	28	22	47	13	0	13	11	49	19	78	
elliott_smith.txt.tkzd.14.txt	2	10	7	7	10	12	0	12	5	13	3	17	
elliott_smith.txt.tkzd.16.txt	1	13	4	5	17	6	0	6	3	8	3	14	
stuart_adamson.txt.tkzd.12.txt	2	86	15	19	1	47	0	10	33	27	7	43	
elliott_smith.txt.tkzd.95.txt	8	13	13	10	8	6	0	6	7	15	2	14	
elliott_smith.txt.tkzd.11.txt	7	11	10	6	12	13	0	12	3	16	3	24	
