file	drug_words.txt.uniq_lem.txt	mpqa_pos_words.txt.uniq_lem.txt	love_words.txt.uniq_lem.txt	mpqa_neut_words.txt.uniq_lem.txt	2-3PTokens.txt.uniq_lem.txt	1PTokens.txt.uniq_lem.txt	action_verbs.txt.uniq_lem.txt	1PSTokens.txt.uniq_lem.txt	death_words.txt.uniq_lem.txt	mpqa_neg_words.txt.uniq_lem.txt	sensual_words.txt.uniq_lem.txt	concrete_nouns.txt.uniq_lem.txt
fiona_apple.txt.tkzd.8.txt	4	24	18	15	18	23	2	23	5	17	7	22
fiona_apple.txt.tkzd.9.txt	6	63	7	28	30	22	0	9	18	35	37	16
johnny_cash.txt.tkzd.1.txt	4	23	15	9	13	33	0	33	10	16	5	30
johnny_cash.txt.tkzd.10.txt	0	16	22	7	33	15	1	15	12	49	13	22
johnny_cash.txt.tkzd.11.txt	5	16	7	2	5	9	1	0	4	20	4	12
johnny_cash.txt.tkzd.12.txt	5	16	15	6	37	7	1	7	2	46	21	31
johnny_cash.txt.tkzd.13.txt	2	30	35	7	23	25	0	25	12	21	13	20
johnny_cash.txt.tkzd.14.txt	0	9	13	10	19	21	0	21	5	16	0	47
johnny_cash.txt.tkzd.15.txt	4	30	5	17	12	16	1	16	6	20	16	35
johnny_cash.txt.tkzd.16.txt	3	16	17	15	5	20	1	8	9	24	9	33
johnny_cash.txt.tkzd.17.txt	30	30	13	27	6	19	1	5	3	23	5	71
johnny_cash.txt.tkzd.18.txt	2	11	14	7	16	0	1	0	8	11	2	37
johnny_cash.txt.tkzd.19.txt	0	6	9	11	7	17	0	15	1	7	8	35
johnny_cash.txt.tkzd.2.txt	1	23	18	14	29	14	0	14	19	16	10	31
johnny_cash.txt.tkzd.20.txt	6	19	23	7	43	4	0	4	8	21	5	39
johnny_cash.txt.tkzd.21.txt	7	35	17	12	28	15	0	14	7	19	8	66
johnny_cash.txt.tkzd.22.txt	0	8	8	0	6	9	0	7	2	9	4	36
johnny_cash.txt.tkzd.3.txt	4	7	32	7	49	3	0	3	16	23	4	55
johnny_cash.txt.tkzd.4.txt	3	23	12	4	18	22	0	22	11	14	11	42
johnny_cash.txt.tkzd.5.txt	4	15	7	8	5	24	3	24	7	21	5	41
johnny_cash.txt.tkzd.6.txt	2	30	32	11	23	5	0	5	11	22	12	46
johnny_cash.txt.tkzd.7.txt	1	8	6	39	9	20	0	20	3	43	30	65
johnny_cash.txt.tkzd.8.txt	8	28	34	12	16	25	0	19	4	50	7	48
johnny_cash.txt.tkzd.9.txt	4	23	13	21	13	21	3	17	8	25	14	34
mike_ness.txt.tkzd.1.txt	3	15	29	3	10	23	0	23	11	57	9	25
mike_ness.txt.tkzd.10.txt	0	11	25	13	15	25	0	24	16	12	8	30
mike_ness.txt.tkzd.11.txt	2	29	17	21	22	17	0	16	6	24	11	19
mike_ness.txt.tkzd.12.txt	2	28	9	32	5	27	0	27	8	14	4	53
mike_ness.txt.tkzd.13.txt	2	19	31	10	6	32	2	24	6	45	5	29
mike_ness.txt.tkzd.14.txt	2	37	6	23	16	15	0	9	15	30	17	40
mike_ness.txt.tkzd.15.txt	0	17	30	4	29	11	3	11	8	32	13	25
mike_ness.txt.tkzd.16.txt	4	18	18	15	13	21	0	21	11	27	5	25
mike_ness.txt.tkzd.17.txt	7	33	36	15	34	21	0	17	25	38	14	39
mike_ness.txt.tkzd.18.txt	0	10	7	43	8	9	0	9	19	44	0	13
mike_ness.txt.tkzd.19.txt	3	35	9	11	46	35	0	34	26	42	29	44
mike_ness.txt.tkzd.2.txt	1	22	17	17	33	12	0	12	5	21	8	34
mike_ness.txt.tkzd.20.txt	5	29	23	22	17	21	0	20	12	33	3	44
mike_ness.txt.tkzd.21.txt	1	12	6	10	12	2	0	1	1	23	4	14
mike_ness.txt.tkzd.22.txt	9	12	51	9	3	29	0	29	65	17	18	71
mike_ness.txt.tkzd.23.txt	13	24	7	9	20	31	0	31	7	9	4	37
mike_ness.txt.tkzd.24.txt	0	16	7	10	52	5	0	5	5	31	7	14
mike_ness.txt.tkzd.25.txt	0	13	13	5	5	16	0	6	2	17	7	15
mike_ness.txt.tkzd.26.txt	16	12	6	6	11	0	14	0	8	7	19	22
mike_ness.txt.tkzd.27.txt	4	24	21	15	6	26	0	26	7	36	15	37
mike_ness.txt.tkzd.28.txt	35	30	16	5	28	3	0	3	13	54	7	20
mike_ness.txt.tkzd.29.txt	7	22	23	13	21	23	0	23	11	39	7	46
mike_ness.txt.tkzd.3.txt	3	39	25	22	23	10	0	10	5	32	14	40
mike_ness.txt.tkzd.30.txt	9	10	27	11	16	45	0	45	4	18	12	38
mike_ness.txt.tkzd.31.txt	2	11	6	8	13	22	3	22	4	20	4	26
mike_ness.txt.tkzd.32.txt	1	17	20	4	7	23	1	23	3	16	10	25
mike_ness.txt.tkzd.33.txt	1	17	11	8	3	58	0	58	3	18	4	86
mike_ness.txt.tkzd.34.txt	3	48	47	15	8	16	0	16	23	36	17	20
mike_ness.txt.tkzd.35.txt	2	13	19	6	21	6	2	6	19	34	3	25
mike_ness.txt.tkzd.36.txt	4	22	17	16	12	67	0	67	1	50	5	55
mike_ness.txt.tkzd.37.txt	1	19	15	10	12	24	1	24	1	30	11	33
mike_ness.txt.tkzd.38.txt	2	23	23	9	3	33	0	33	9	28	10	47
mike_ness.txt.tkzd.39.txt	4	23	12	34	23	6	0	6	5	33	3	10
mike_ness.txt.tkzd.4.txt	9	5	12	31	16	24	0	23	19	39	4	39
mike_ness.txt.tkzd.40.txt	2	13	7	10	13	14	0	14	12	9	9	32
mike_ness.txt.tkzd.41.txt	7	28	27	25	35	4	1	4	14	56	13	23
mike_ness.txt.tkzd.42.txt	0	17	10	8	27	11	0	5	8	23	8	9
mike_ness.txt.tkzd.43.txt	3	29	26	24	11	12	1	10	18	43	10	25
mike_ness.txt.tkzd.5.txt	3	29	17	15	30	21	1	19	12	21	8	41
mike_ness.txt.tkzd.6.txt	0	16	48	19	114	6	0	4	62	10	2	19
mike_ness.txt.tkzd.7.txt	5	30	24	29	1	44	0	43	19	25	11	76
mike_ness.txt.tkzd.8.txt	3	30	25	31	16	12	0	12	13	14	19	42
mike_ness.txt.tkzd.9.txt	5	17	16	13	4	10	7	9	3	12	5	36
trent_reznor.txt.tkzd.1.txt	3	34	14	13	9	17	1	17	10	23	4	20
trent_reznor.txt.tkzd.10.txt	3	19	9	14	29	29	0	29	7	7	9	35
trent_reznor.txt.tkzd.11.txt	13	55	18	29	22	37	0	37	28	12	6	53
trent_reznor.txt.tkzd.12.txt	3	22	9	14	10	21	0	20	4	10	1	26
