index	artist	drug_words	mpqa_pos_words	love_words	mpqa_neut_words	2-3PTokens	1PTokens	action_verbs	1PSTokens	death_words	mpqa_neg_words	sensual_words	concrete_nouns
5	Mike Ness	3	29	17	15	30	21	1	19	12	21	8	41
6	Mike Ness	0	16	48	19	114	6	0	4	62	10	2	19
7	Mike Ness	5	30	24	29	1	44	0	43	19	25	11	76
8	Mike Ness	3	30	25	31	16	12	0	12	13	14	19	42
9	Mike Ness	5	17	16	13	4	10	7	9	3	12	5	36
10	Mike Ness	0	11	25	13	15	25	0	24	16	12	8	30
11	Mike Ness	2	29	17	21	22	17	0	16	6	24	11	19
12	Mike Ness	2	28	9	32	5	27	0	27	8	14	4	53
13	Mike Ness	2	19	31	10	6	32	2	24	6	45	5	29
14	Mike Ness	2	37	6	23	16	15	0	9	15	30	17	40
15	Mike Ness	0	17	30	4	29	11	3	11	8	32	13	25
16	Mike Ness	4	18	18	15	13	21	0	21	11	27	5	25
17	Mike Ness	7	33	36	15	34	21	0	17	25	38	14	39
18	Mike Ness	0	10	7	43	8	9	0	9	19	44	0	13
19	Mike Ness	3	35	9	11	46	35	0	34	26	42	29	44
20	Mike Ness	5	29	23	22	17	21	0	20	12	33	3	44
21	Mike Ness	1	12	6	10	12	2	0	1	1	23	4	14
22	Mike Ness	9	12	51	9	3	29	0	29	65	17	18	71
23	Mike Ness	13	24	7	9	20	31	0	31	7	9	4	37
24	Mike Ness	0	16	7	10	52	5	0	5	5	31	7	14
25	Mike Ness	0	13	13	5	5	16	0	6	2	17	7	15
26	Mike Ness	16	12	6	6	11	0	14	0	8	7	19	22
27	Mike Ness	4	24	21	15	6	26	0	26	7	36	15	37
28	Mike Ness	35	30	16	5	28	3	0	3	13	54	7	20
29	Mike Ness	7	22	23	13	21	23	0	23	11	39	7	46
30	Mike Ness	9	10	27	11	16	45	0	45	4	18	12	38
31	Mike Ness	2	11	6	8	13	22	3	22	4	20	4	26
32	Mike Ness	1	17	20	4	7	23	1	23	3	16	10	25
33	Mike Ness	1	17	11	8	3	58	0	58	3	18	4	86
34	Mike Ness	3	48	47	15	8	16	0	16	23	36	17	20
35	Mike Ness	2	13	19	6	21	6	2	6	19	34	3	25
36	Mike Ness	4	22	17	16	12	67	0	67	1	50	5	55
37	Mike Ness	1	19	15	10	12	24	1	24	1	30	11	33
38	Mike Ness	2	23	23	9	3	33	0	33	9	28	10	47
39	Mike Ness	4	23	12	34	23	6	0	6	5	33	3	10
40	Mike Ness	2	13	7	10	13	14	0	14	12	9	9	32
41	Mike Ness	7	28	27	25	35	4	1	4	14	56	13	23
42	Mike Ness	0	17	10	8	27	11	0	5	8	23	8	9
43	Mike Ness	3	29	26	24	11	12	1	10	18	43	10	25
1	Trent Reznor	3	34	14	13	9	17	1	17	10	23	4	20
2	Trent Reznor	8	26	47	16	30	41	0	40	20	41	35	23
3	Trent Reznor	4	19	11	11	25	9	1	9	4	19	5	17
4	Trent Reznor	6	17	15	8	14	29	0	29	5	27	8	27
5	Trent Reznor	3	26	17	15	24	19	0	19	13	25	6	20
6	Trent Reznor	4	15	14	12	14	20	0	20	4	19	15	26
7	Trent Reznor	1	35	34	18	58	18	2	18	59	48	17	22
8	Trent Reznor	0	29	20	19	15	28	0	27	24	54	23	23
9	Trent Reznor	2	36	17	15	31	48	0	48	5	42	7	68
10	Trent Reznor	3	19	9	14	29	29	0	29	7	7	9	35
11	Trent Reznor	13	55	18	29	22	37	0	37	28	12	6	53
12	Trent Reznor	3	22	9	14	10	21	0	20	4	10	1	26
13	Trent Reznor	5	18	13	3	18	19	0	19	8	20	9	18
14	Trent Reznor	0	8	6	10	9	31	0	30	3	24	4	28
15	Trent Reznor	2	30	12	50	10	31	0	30	0	31	8	48
16	Trent Reznor	2	12	10	9	13	20	0	20	4	15	13	45
17	Trent Reznor	4	24	12	16	44	45	1	45	13	24	23	77
18	Trent Reznor	2	14	9	29	4	41	0	41	0	3	0	46
19	Trent Reznor	5	19	6	3	26	9	0	9	16	40	3	25
20	Trent Reznor	3	33	20	17	28	12	0	12	13	28	13	23
21	Trent Reznor	11	27	16	8	26	37	0	37	2	22	10	19
22	Trent Reznor	1	19	13	41	48	23	0	23	6	41	9	21
23	Trent Reznor	2	23	8	19	30	44	1	44	23	37	3	35
24	Trent Reznor	4	62	43	34	18	61	0	61	6	26	17	74
25	Trent Reznor	1	11	6	18	12	49	1	49	0	10	30	61
26	Trent Reznor	1	2	2	2	8	12	0	12	1	16	2	0
27	Trent Reznor	0	15	9	25	7	24	0	24	4	24	7	9
28	Trent Reznor	1	4	2	7	5	1	0	1	1	11	1	6
