% 1. Title: Suicide/Non-suicide Project 2 Training Set Version 1 without Fiona Apple
% 
% 2. Sources:
%      (a) Creator: Matt Mulholland and Joanne Quinn
%      (b) Contents
%		Non-suicide Lyricists (253 songs):
%			1. Bob Dylan (123 songs)
%			2. Bob Marley (42 songs)
%			3. Mike Ness (43 songs)
%			4. Trent Reznor (45 songs)
%		Suicide Lyricists (280 songs):
%			1. Elliott Smith (99 songs)
%			2. Ian Curtis (40 songs)
%			3. Kurt Cobain (53 songs)
%			4. Pete Ham (34 songs)
%			5. Phil Ochs (54 songs)
%      (c) Date: August, 2013  
%
@relation song

@ATTRIBUTE	class	{suicide,non-suicide}
@ATTRIBUTE	passive/tok	numeric
@ATTRIBUTE	passive/typ	numeric
@ATTRIBUTE	passive/time	numeric
@ATTRIBUTE	(I+mental-verb)/time	numeric
@ATTRIBUTE	neut/typ	numeric
@ATTRIBUTE	diff_between_sums_across_all_n-grams	numeric
@ATTRIBUTE	percent_non-suicide_3-grams	numeric
@ATTRIBUTE	percent_non-suicide_4-grams	numeric
@ATTRIBUTE	diff_for_1-gram_percentages	numeric
@ATTRIBUTE	average_for_all_n-grams:_non-suicide	numeric
@ATTRIBUTE	diff_between_averages_for_all_n-grams	numeric
@ATTRIBUTE	det/tok	numeric

@DATA
non-suicide,0.0112044818,0.0211640212,0.0178173719,0.004454343,0.1058201058,-0.0977497118,0.0381194409,0.0087281796,-0.0342857143,0.0381512493,-0.0162916186,0.0572472594
non-suicide,0,0,0,0,0.1929824561,-0.0098362263,0.043902439,0.0142180095,0,0.0331095971,-0.001639371,0.0905349794
non-suicide,0.006993007,0.0170454545,0.0080428954,0,0.1875,-0.125197005,0.0683544304,0.0242718447,-0.0245398773,0.045978927,-0.0208661675,0.0708502024
non-suicide,0.0115511551,0.0267175573,0.0195530726,0.0055865922,0.0267175573,-0.1106733732,0.0170132325,0.0055147059,-0.0532786885,0.0343310481,-0.0184455622,0.1154929577
non-suicide,0.0061728395,0.0112359551,0.0040160643,0.0080321285,0.1123595506,-0.2243050805,0.0722891566,0.0228571429,-0.0697674419,0.0620339213,-0.0373841801,0.0819672131
non-suicide,0.0057803468,0.0108695652,0.0104529617,0.031358885,0.0688405797,-0.14952067,0.0580204778,0.0280528053,-0.062992126,0.0477756287,-0.0249201117,0.0538336052
non-suicide,0.0091324201,0.0210526316,0.0100502513,0.0150753769,0.1578947368,-0.1541410779,0.0722222222,0.037037037,-0.0326086957,0.0391693335,-0.0256901797,0.0778210117
non-suicide,0.0021186441,0.0055555556,0.0027932961,0.0027932961,0.1722222222,-0.1217234325,0.0767386091,0.0224215247,-0.0481927711,0.0492641194,-0.0202872387,0.0436300175
non-suicide,0,0,0,0,0.1686746988,-0.101749423,0.0897435897,0.0243902439,0.0126582278,0.040818832,-0.0169582372,0.0620155039
non-suicide,0.0094339623,0.0185185185,0.0142857143,0.019047619,0.1358024691,-0.1402196448,0.0651558074,0.0237467018,-0.0839160839,0.0441991867,-0.0233699408,0.0702576112
non-suicide,0,0,0,0.003021148,0.097826087,-0.1448030148,0.0743801653,0.0191256831,-0.0402298851,0.0446920447,-0.0241338358,0.0710227273
non-suicide,0.0100430416,0.0193370166,0.0102790015,0.0014684288,0.0994475138,-0.0608937011,0.0341207349,0.0152671756,-0.0243902439,0.0347204654,-0.0101489502,0.0880503145
non-suicide,0.0336134454,0.0533333333,0.0224719101,0,0.0933333333,-0.0199585361,0.0322580645,0.0079365079,-0.012987013,0.0296021183,-0.0033264227,0.1374045802
non-suicide,0.0065359477,0.0106382979,0.0059171598,0.0236686391,0.0319148936,0.0050276123,0.0454545455,0.0111111111,-0.0112359551,0.0324461964,0.0008379354,0.0523560209
non-suicide,0.0071428571,0.0106382979,0.0042918455,0.0300429185,0.0638297872,-0.057183165,0.064516129,0.025477707,0,0.0428895738,-0.0095305275,0.0609756098
non-suicide,0,0,0,0.0066225166,0.09,0.0022384006,0.036809816,0.006097561,0.0212765957,0.0300521675,0.0003730668,0.125
non-suicide,0.0096774194,0.0177514793,0.0129310345,0.0129310345,0.1597633136,-0.0747848251,0.0769230769,0.0175438596,-0.0193548387,0.0448500613,-0.0124641375,0.0751445087
non-suicide,0.0017574692,0.0039525692,0.0029850746,0.0059701493,0.0711462451,-0.0924741288,0.0403877221,0.0076219512,-0.0132743363,0.0362168681,-0.0154123548,0.0754985755
non-suicide,0,0,0,0,0.0865384615,-0.1427925016,0.0769230769,0.0054945055,0,0.0421076123,-0.0237987503,0.0864864865
non-suicide,0.0058479532,0.0098039216,0.0051020408,0.0102040816,0.1470588235,-0.1200561037,0.0909090909,0.0337078652,0,0.04225847,-0.0200093506,0.0578947368
